Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Honeyswap,https://honeyswap.org/,"Honeyswap is a decentralized exchange built on the xDai Chain, this enables users to experience fast and secure transactions with incredibly low fees. Multiple tokens are available with which you can swap and add liquidity. It is a fork of the well known Uniswap-V2 protocol adapted to fit for the xDai Chain and the 1hive ecosystem.","['xDai', 'Polygon']",Honeyswap,4967147.683172039,"{'xDai': 4896820.183919623, 'Polygon': 70327.49925241632}",Dexes
Megaton Finance,https://megaton.fi,Megatonfi is an AMM-based Instant Swap Protocol,['TON'],Megaton_Fi,4951289.096350155,{'TON': 4951289.096350155},Dexes
CreamSwap,https://app.cream.finance/swap,"C.R.E.A.M. Finance Swap is a blockchain agnostic, dimensional market-maker built on Ethereum. It allows user to provide liquidity to pools and earn trading fees/reserves.",['Ethereum'],CreamdotFinance,4948625.626322747,{'Ethereum': 4948625.626322747},Dexes
Mimo,https://mimo.exchange,"mimo is a decentralized liquidity protocol that will fuel the next wave of decentralized finance (DeFi) on IoTeX. mimo’s vision is to empower next-gen DeFi products that utilize our state-of-the-art automated liquidity protocol and the IoTeX's lightning-fast speed, low gas fees, and cross-chain capabilities.",['IoTeX'],mimoprotocol,4948398.494402258,{'IoTeX': 4948398.494402258},Dexes
ViteX,https://vitex.net,"A DAG-based Cross-Chain DEX By the Community, For the Community",['Vite'],ViteXExchange,4944710.11093622,{'Vite': 4944710.11093622},Dexes
FLRX,https://xfx.flr.finance,"Flare Networks has launched Songbird, a full-value experimental development network.Flare Finance has decided to follow in the footsteps of the main network, and deployed an experimental playground of our own. The Experimental Finance (or 'ExFi') platform on the Songbird Network","['Songbird', 'Flare']",enosys_global,4931551.976355757,"{'Songbird': 4161194.8328140643, 'Flare': 770357.143541692}",Dexes
MM Finance Cronos,https://mm.finance,1st AMM & DEX on Cronos Chain that offers fee rebate via trading mining,['Cronos'],MMFcrypto,4920377.921105502,"{'Cronos': 4920377.921105502, 'Cronos-staking': 14413.701602113753, 'staking': 14413.701602113753}",Dexes
Ellipsis Finance,https://ellipsis.finance/,Secure low-slippage stable swapping on BSC.,['Binance'],Ellipsisfi,4894850.104335383,"{'Binance': 4894850.104335383, 'Binance-staking': 194512.08692724805, 'staking': 194512.08692724805}",Dexes
Velodrome V1,https://app.velodrome.finance,A revolutionary new AMM based on Solidly launched on Optimism.,['Optimism'],VelodromeFi,4859319.226530419,{'Optimism': 4859319.226530419},Dexes
MuesliSwap,https://muesliswap.com,"A live and operating Orderbook and AMM DEX on Cardano L1 and Milkomeda - based on the simplistic, research-driven order book protocol tailored for Cardano UTXOs.","['Cardano', 'Milkomeda']",MuesliSwapTeam,4769527.894368415,"{'Cardano': 4670612.667551773, 'Milkomeda': 98915.22681664188, 'Cardano-staking': 6448466.112755489, 'staking': 6448466.112755489}",Dexes
Chronos V1,https://app.chronos.exchange/,Chronos is a community-owned decentralized exchange (DEX) and liquidity provider constructed on Arbitrum,['Arbitrum'],ChronosFi_,4705859.8904948225,{'Arbitrum': 4705859.8904948225},Dexes
VoltSwap V2,https://voltswap.finance,VoltSwap is the first major DEX in the Meter ecosystem. It is a completely community-driven project and was introduced by the Meter.io team to showcase the capabilities of the Meter blockchain.,"['Meter', 'Base']",Meter_IO,4551184.984596042,"{'Meter': 4543042.003912489, 'Base': 8142.980683553309}",Dexes
