Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
InfiniTORR,https://www.torrswap.io/,"InfiniTORR is designed to be a Dapps hub, for Dapps built on the BitTorrent Chain Network (BTTC). The core Dapp of InfiniTORR is heavily inspired by popular Lobby based projects such as Hex, T2X and others. The InfiniTORR Team changes up these Traditional Auction Lobby structures and adds new layers of FOMO to the mix, creating exciting, fresh new experiences for our users. Our first product is TorrSwap, our main dex",['Bittorrent'],InfiniTorrBTT,1951.0103551664324,{'Bittorrent': 1951.0103551664324},Dexes
ScarySwap,https://app.scaryswap.com,"ScarySwap is the first ever swapping dex offering completely zero fees swaps on certain pairs , users can currently swap FTM , WBNB , WETH with zero fees and more pairs will be added as the DEX grows. zero fees pairs are added by the core team of ScarySwap while other users can add pairs with the default 0.1% fees system",['Fantom'],Scary_Swap,1881.213980924941,"{'Fantom-staking': 67.90918868243384, 'staking': 67.90918868243384, 'Fantom': 1881.213980924941}",Dexes
Waterfall DEX,https://www.wtfdex.com/,Waterfall is the first DEX on Arbitrum that will find a purpose for many Meme tokens and not only! AMM on Arbitrum,['Arbitrum'],defi_waterfall,1842.7055133168144,"{'Arbitrum-staking': 0, 'Arbitrum': 1842.7055133168144, 'staking': 0}",Dexes
Yumiswap,https://yumiswap.com/,"YumiSwap is a crypto world for users to trade, earn, and game. It is the premier choice for projects on Astar with features including AMM, NFT, and GameFi.",['Astar'],yumiswap,1733.046584485258,{'Astar': 1733.046584485258},Dexes
SweetSwap,https://sweetswap.fi,Sweetest Swap On Dogechain,['Dogechain'],sweetswapfi,1722.2238511948433,{'Dogechain': 1722.2238511948433},Dexes
Gamut Exchange,https://www.gamut.exchange,Decentralized exchange designed for volatile assets that benefit liquidity providers and traders with lower fees and higher incentives.,['Kava'],GamutExchange,1704.0064263461559,{'Kava': 1704.0064263461559},Dexes
Oaswap,https://oaswap.finance/swap,Oaswap is an automated market-making (AMM) decentralized exchange (DEX) on the Oasis Emerald network.,['Oasis'],oaswap,1665.734250036499,{'Oasis': 1665.734250036499},Dexes
Ammos Finance,https://app.ammos.fi/#/swap,"Pro trading experience with ultra-concentrated liquidity, limit orders and managed liquidity provisioning (MLP)",['Mantle'],Ammosfinance,1644.1653657007994,{'Mantle': 1644.1653657007994},Dexes
ComfySwap,https://app.comfyswap.com/,Decentralized exchange on Shibarium,['Shibarium'],ComfySwap,1634.1455265973632,{'Shibarium': 1634.1455265973632},Dexes
Satin Exchange,https://satin.exchange,The Flywheel of Liquidity and Stable Yield on Polygon.,['Polygon'],SatinExchange,1626.0024230825516,{'Polygon': 1626.0024230825516},Dexes
WhaleSwap,https://whaleswap.finance,A next-generation DEX on BNB Chain to maximize capital efficiency with the innovative Discretized-Liquidity-AMM model,"['Binance', 'Fantom', 'Avalanche', 'Polygon', 'Arbitrum', 'Optimism', 'Kava']",WhaleLoans,1557.424091274445,"{'Optimism': 27.247674187869162, 'Kava': 5.800885753017988, 'Optimism-staking': 2.885029296011945, 'Fantom-staking': 3.9579073698041713, 'Arbitrum-staking': 7.700654211659942, 'Binance': 1126.4513622396569, 'Binance-staking': 198.63204300343594, 'Avalanche': 118.82340237983257, 'Avalanche-staking': 1.782419779283926, 'Polygon': 111.59043430353536, 'Polygon-staking': 0, 'Arbitrum': 37.95802975219871, 'Fantom': 129.55230265833436, 'staking': 214.9580536601959}",Dexes
OBSwap,https://swap.defiob.com,"EOS trading platform - Safe, Fluency, Concise, Flexible fees, High APY.",['EOS'],defiob,1530.4301626498927,{'EOS': 1530.4301626498927},Dexes
IFSwap,https://ifswap.finance,IFSwap is an open AMM model dex protocol for CSC.,['CSC'],if_networks,1482.6684323186823,"{'CSC': 1482.6684323186823, 'CSC-staking': 370.77444171461747, 'staking': 370.77444171461747}",Dexes
TendieSwap,https://www.tendieswap.org,"TendieSwap is a prediction market DeFi platform running on the Binance Smart Chain and Polygon Network. Beyond it’s prediction markets, TendieSwap also offers a Decentralized Exchange (AMM), Yield Farming, and Staking platform. TENDIE is the native currency of the platform. With this token, you will get access to many of the incredible features the TendieSwap protocol offers.",['Binance'],tendie_swap,1376.3964908424323,"{'Binance': 1376.3964908424323, 'Binance-staking': 0, 'staking': 0}",Dexes
Genesis Finance,https://genesisfinance.app,Genesis Finance is the a cross chain yield aggregator that enables users to get great returns on their assets from different yield finance products farms pools vaults and the 'Garden of Eden' Genesis. Finance’s team is bringing something new on Cronos and our aim is to keep investors funds safe across different chains,['Cronos'],cronos_genesis,1362.6429915077936,"{'Cronos': 1362.6429915077936, 'pool2': 20.87898149998285, 'Cronos-pool2': 20.87898149998285, 'Cronos-staking': 0, 'staking': 0}",Dexes
EOSWAP Finance,https://eoswap.finance,Easy and fast trade-in EOS EVM,['EOS EVM'],EoswapFinance,1294.486869836253,{'EOS EVM': 1294.486869836253},Dexes
SeaSwap,https://seaswap.io,"Layered DeFi platform built on SeiNetwork (OTC swap, Bonding Curve launchpad, permissionless DEX, token creator).",['Sei'],Seaswap_sei,1270.5023953229418,{'Sei': 1270.5023953229418},Dexes
BaptSwap,https://baptswap.com,Swap. Stake. Secure. The first DEX to support fee-on-transfer tokens on Aptos.,['Aptos'],baptswap,1196.366670842976,{'Aptos': 1196.366670842976},Dexes
SwapMatic,https://swapmatic.io,SwapMatic empowers innovative blockchain projects by providing an Automated Market Making (AMM) and yield farming platform on Polygon L2 chain.,['Polygon'],SwapMatic,1151.7041602740953,{'Polygon': 1151.7041602740953},Dexes
HonkSwap,https://honk.cash,"HONK World represents the clown world we are all living in today. HONK token is one of the oldest tokens on BCH. Now migrated from SLP to SmartBCH, its scope has expanded to HONK World, which includes farming and NFTs. HONK World and its HONK token aim to bring more fun into crypto and the SmartBCH ecosystem!",['smartBCH'],World_of_Honk,1149.996871729675,{'smartBCH': 1149.996871729675},Dexes
Defily Dex,https://defily.io/#/swap,"A DeFi DAO based Ecosystem involving farming, breeding and playing",['Onus'],DefilyFinance,1149.4135958647125,{'Onus': 1149.4135958647125},Dexes
Koyo Finance,https://koyo.finance,"Kōyō is the first next-generation AMM protocol in the Boba ecosystem. It is inspired by Balancer. At its core, it's a decentralised exchange (DEX) that minimizes unnecessary losses from swaps between assets of equal value.",['Boba'],KoyoFinance,1117.1068527195346,"{'Boba': 1117.1068527195346, 'Boba-staking': 0, 'staking': 0}",Dexes
DefySwap,https://defyswap.finance/,"Automated Market Maker with Limit Order Features, Impermanent Loss Protection & Futuristic UI","['Fantom', 'Echelon']",DefySwap,1080.998900809265,"{'Echelon': 0, 'Fantom-staking': 0, 'staking': 0, 'Fantom': 1080.998900809265}",Dexes
AuraSwap,https://auraswap.finance,AuraSwap is an AMM decentralized exchange and Yield Farming on Polygon with near-zero gas fees. At the heart of AURA is the driving force of the ecosystem.,['Polygon'],AuraSwapDEX,1057.8664705603778,"{'Polygon': 1057.8664705603778, 'Polygon-staking': 0, 'staking': 0}",Dexes
Hamburger Finance,https://hamburger.finance,"Solving the Big TVL problem, the Arbitrum Hamburger brings the best & juicy APR patties that grow as the TVL & veToken locks grow!",['Arbitrum'],HamburgerDEX,1013.7092719060646,{'Arbitrum': 1013.7092719060646},Dexes
ZenithSwap,https://app.zenithswap.com/swap,Decentralized Exchange on Arbitrum,['Arbitrum'],Zenith_Swap,978.4631202269435,"{'Arbitrum-staking': 196.8195251372337, 'Arbitrum': 978.4631202269435, 'staking': 196.8195251372337}",Dexes
OpenBiSea,https://openbisea.io,Reinvented DeFi swap with true NFT value,"['Aurora', 'Kava', 'Binance', 'Polygon']",openbisea,957.3640500963932,"{'Binance': 43.50599999999999, 'Kava': 281.0100524919358, 'Aurora': 630.5423619840038, 'Polygon': 2.3056356204534785}",Dexes
BrightSide,https://app.brightside.finance/,AMM Dex on Milkomeda A1,['Milkomeda A1'],BrightSide_fi,930.2581851056999,{'Milkomeda A1': 930.2581851056999},Dexes
Energon DEX,https://www.energondex.io,Energon DEX Automated Market Maker on Base Chain.,['Base'],EnergonDex,890.1536778752441,"{'Base-staking': 0.02364317504484091, 'Base': 890.1536778752441, 'staking': 0.02364317504484091}",Dexes
AliensFarm,https://aliens.farm,"Open-source DEX on Tezos: create your own pools, farm, earn combo rewards. Let's develop the #Tezos #DeFi ecosystem together!",['Tezos'],tezaliensfarm,875.7863408843905,{'Tezos': 875.7863408843905},Dexes
TrainSwap,https://trainswap.io,Next Gen DEX platform on Arbitrum network,['Arbitrum'],trainswap0,873.4500136073854,"{'Arbitrum-staking': 0.21432022800748812, 'Arbitrum': 873.4500136073854, 'staking': 0.21432022800748812}",Dexes
Dove Swap V2,https://swap.dovish.finance,"Dove Swap is an emerging DEX that runs on the Polygon zkEVM to offer cheaper and faster transactions. The DEX focuses on providing the most user-friendly experience in DeFi, for both DeFi users and protocols. DoveSwap mainly operates and benefits from the lower gas prices, and higher transaction throughputs of the chain it operates on compared to Ethereum.",['Polygon zkEVM'],DovishFi,872.5516166380144,{'Polygon zkEVM': 872.5516166380144},Dexes
Spartacus Exchange,https://app.spartacus.exchange,Spartacus Exchange is a decentralized exchange that is designed for everyone with low fees for both correlated and volatile assets.,['Fantom'],Spartacus_Fi,856.432229636654,{'Fantom': 856.432229636654},Dexes
PYEswap,https://pyeswap.com/,The New Swap 2.0 Protocol,['Binance'],PyeEcosystem,855.8919772113921,{'Binance': 855.8919772113921},Dexes
DarkSwap,https://www.darkswap.finance,"Trade, Play, and Earn on the most progressive DEX Aggregator on Dogechain. Enjoy the lowest exchange fee and profitable features.",['Dogechain'],DarkSwap_Fi,850.3599255585741,{'Dogechain': 850.3599255585741},Dexes
Palma Swap,https://palmaswap.io,PalmaSwap is a Decentralized exchange based on automated market makers (AMM).,['CORE'],PalmaSwap,849.5144508159525,"{'CORE-staking': 0.0004513145170542448, 'CORE': 849.5144508159525, 'staking': 0.0004513145170542448}",Dexes
BarnSwap,https://barnswap.com/#/swap,AMM DEX on MUUCHAIN,['MUUCHAIN'],MuuInuOfficial,813.5599686843184,{'MUUCHAIN': 813.5599686843184},Dexes
Demodyfi,https://www.demodyfi.com,"Demodyfi is able to build a next-generation DEX that extends its DeFi product line into a single-source, cross-chain market. The ability to do both pools and cross-chain swaps, powered by the Polkadot ecosystem, can provide higher throughput for faster and cheaper transactions while remaining connected to the Ethereum Network and other blockchains for liquidity.","['Moonbeam', 'Binance', 'Ethereum']",Demodyfi,747.8821787602437,"{'pool2': 2835.557238776576, 'Binance-pool2': 576.1176522927922, 'Moonbeam': 747.8821787602437, 'Ethereum-pool2': 2259.439586483784, 'Binance': 0, 'Ethereum': 0, 'Binance-staking': 0, 'Ethereum-staking': 0, 'staking': 0}",Dexes
Juggler Red,https://juggler.red/swap,AMM on Optimism chain,['Optimism'],0xCircus,695.9923263116377,{'Optimism': 695.9923263116377},Dexes
CoreSwap,https://www.coreswap.finance/,"coreswap.finance is an Automated Market Maker (AMM) protocol and liquidity pool designed for efficient trading between crypto-assets. The trading activity on coreswap.finance captures fees as revenue for liquidity providers, resulting in a decentralized market and trading experience.",['CORE'],CoreSwapFinance,674.9660553282008,{'CORE': 674.9660553282008},Dexes
SmartDEXBCH,https://smartdex.cash/,"SmartDex is as the DEX on SmartBCH that is using very potent mechanisms behind the scenes that rewards holders of dSMART, through solo staking and revenue accrual models.",['smartBCH'],smartdogebch,650.5806446949957,"{'smartBCH-staking': 10.134667949840928, 'smartBCH': 650.5806446949957, 'staking': 10.134667949840928}",Dexes
Brise Swap,https://exchange.briseswap.finance/#/swap,Launchpad and AMM Dex on @bitgertbrise,['Bitgert'],Brisepadco,631.4843951918498,{'Bitgert': 631.4843951918498},Dexes
DogeMuskSwap,https://muskswap.dog/,DogeMuskSwap is Decentralized Exchange (DEX) hosted on Doge Chain network,['Dogechain'],dmuskswap,588.0925119280887,{'Dogechain': 588.0925119280887},Dexes
PowSea,https://powsea.finance/,The #1 NFT Marketplace and DEX on Ethereum PoW,['EthereumPoW'],powseafinance,565.0044135439947,{'EthereumPoW': 565.0044135439947},Dexes
Stronghands,https://smxswap.com,An innovative community focused dex with xTOKEN ecosystem.,"['Cronos', 'Binance', 'Polygon']",StronghandsDev,495.830171782414,"{'Binance': 11.627060149433692, 'Cronos': 484.2031116329803, 'Polygon': 0}",Dexes
HipPoWSwap,https://hippowswap.com/#/swap,HipPoWSwap is a decentralized exchange running on the Eth PoW chain,['EthereumPoW'],HipPoWSwap,480.37529097192,{'EthereumPoW': 480.37529097192},Dexes
ZukeSwap,https://zukeswap.xyz,A decentralized exchange on Loop Chain.,['Loop'],ZukeSwap,475.7096879076662,{'Loop': 475.7096879076662},Dexes
MetaSwap,https://metaswap.life/#/swap,Uniswap V2 fork on EOS EVM,['EOS EVM'],,467.1516506962424,{'EOS EVM': 467.1516506962424},Dexes
Zolidly Finance,https://app.zolidly.exchange,"Zolidly is a ve(3,3) DEX in zkSync Era, providing low slippage and capital efficiency to everyone. Pioneering DeFi ecosystem on top of zkSync technology.",['zkSync Era'],Zolidly_Finance,463.28184138166785,{'zkSync Era': 463.28184138166785},Dexes
MoonLift,https://dex.moonlift.capital/swap,MoonLift DEX on bsc,['Binance'],MoonliftCapital,435.60936059201333,{'Binance': 435.60936059201333},Dexes
ChampagneSwap,https://champagneswap.com,"The Internet Scale DeFi for the People. Trade, earn, and win crypto on the most popular decentralized platform for all people with internet access.",['Binance'],champagnedefi,426.79608433309926,"{'Binance': 426.79608433309926, 'Binance-staking': 0, 'staking': 0}",Dexes
Starbank,https://test.starbank.finance,Starbank is the first decentralized investment platform on Astar Network.,['Astar'],StarbankFinance,423.0171147814673,{'Astar': 423.0171147814673},Dexes
Astar Exchange V3,https://astar.exchange,"Uniswap v3 fork on Astar - Concentrated liquidity: up to 4000x higher capital efficiency for LPs - Multiple fee tiers, Up to 25x lower trading fees for traders",['Astar'],AstarExchange,407.9740660464951,{'Astar': 407.9740660464951},Dexes
SkullSwap V2,https://skullswap.exchange,"SkullSwap is a decentralized exchange (DEX) built on the Fantom network that aims to bring concentrated liquidity to the ecosystem. With a focus on user experience and security, SkullSwap allows for fast, easy and safe trading of many tokens.",['Fantom'],skullswapdex,406.6436667253913,{'Fantom': 406.6436667253913},Dexes
ko.one,https://www.ko.one,ko.one is a decentralized exchange (DEX) on zkSync Era,['zkSync Era'],ko___one,384.9245995190204,{'zkSync Era': 384.9245995190204},Dexes
Pandora Swap,https://pandoraswapxyz.org/,"PandoraSwap has the most complete and holistic ecosystem on Astar Chain with its AMM/DEX, Yield Optimizer & NFT.",['Astar'],pandora_swap,348.7473663155236,{'Astar': 348.7473663155236},Dexes
PixelSwap,https://pixelswap.xyz/,PixelSwap Is a efficient and interconnected decentralized exchange that accommodates various blockchain networks seamlessly,"['Op_Bnb', 'Base', 'zkSync Era', 'Arbitrum', 'Linea']",PixelSwapFi,346.3841578411439,"{'zkSync Era': 8.26692561030168e-06, 'Linea': 0, 'Arbitrum': 3.29652e-15, 'Op_Bnb': 329.76452333686916, 'Base': 16.619626237349173}",Dexes
JLSwap,https://www.jlswap.info/,"JLSwap is a fully decentralized DEX on the EOS EVM chain, it provides swap, pool&farm,etc",['EOS EVM'],JLSwap0001,344.89124467954446,{'EOS EVM': 344.89124467954446},Dexes
AfraSwap,https://afraswap.io,AfraSwap provides a secure and easy way to swap tokens on BSC while providing the best prices by aggregating multiple different AMM's.,['Binance'],afraswap,326.4823227649128,"{'Binance': 326.4823227649128, 'Binance-staking': 1694.7476218871352, 'staking': 1694.7476218871352}",Dexes
Octane Finance,https://octane.finance,The most powerful decentralized limit orders on Binance Smart Chain.,['Binance'],octane_finance,314.35133653899607,"{'Binance': 314.35133653899607, 'Binance-staking': 0, 'pool2': 1282.006160703718, 'Binance-pool2': 1282.006160703718, 'staking': 0}",Dexes
Sahara Exchange,https://sahara.exchange,"SaharaExchange is a DEX on Oasis Emerald ParaTime that rewards holders of ANKH, through solo staking and pool staking.",['Oasis'],SaharaDex,303.50967165627895,{'Oasis': 303.50967165627895},Dexes
Beluga Protocol,https://beluga.so,Beluga is a decentralized exchange and liquidity pool designed for extremely efficient trading for stablecoins and pegged assets.,['Solana'],Belugadex,302.34388763874,{'Solana': 302.34388763874},Dexes
ElonSwap,https://elonswap.dog/#/,"Premier DEX on Dogechain, Innovation, speed and safety Powered by $ERROL",['Dogechain'],ElonSwapdog,286.06649392687376,{'Dogechain': 286.06649392687376},Dexes
SunFlower Finance,https://sunflowerfi.org,The tastiest AMM and yield farm on Binance Smart Chain.,['Binance'],SunFlowerFiSFO,278.37152966448207,"{'Binance': 278.37152966448207, 'Binance-staking': 0, 'pool2': 6563.206110195908, 'Binance-pool2': 6563.206110195908, 'staking': 0}",Dexes
Throne V2,https://throne.exchange,"A Majestic Native DEX Reigning over the Base Ecosystem. Fortified by the Community, Empowered by V3 Protocol.",['Base'],ThroneDEX,241.36909058092024,{'Base': 241.36909058092024},Dexes
Solana Farm,https://solanafarm.finance,Staking platform on BSC,['Binance'],solana_farm,238.30636236748774,"{'Binance': 238.30636236748774, 'Binance-staking': 0, 'pool2': 55.94159226874633, 'Binance-pool2': 55.94159226874633, 'staking': 0}",Dexes
printyfinance,https://www.printyfinance.xyz/home,Experimental Fork in Production.,['Avalanche'],printyfinance,235.73129872809594,{'Avalanche': 235.73129872809594},Dexes
Jupiter Swap,https://www.jupiter-swap.exchange,JupiterSwap is a leading AMM DEX on Kava.eth chain.,['Kava'],jupiter_swap,208.64640901665345,{'Kava': 208.64640901665345},Dexes
VampireSwap,https://vampireswap.org,The All-in-one DeFi Platform built on Fantom Network,['Fantom'],vampireswap,196.9805766675151,"{'Fantom-staking': 6.57883672668495, 'staking': 6.57883672668495, 'Fantom': 196.9805766675151}",Dexes
Sugar Swap,https://sugarswap.exchange,"SugarSwap is a decentralized exchange (DEX) that is specifically designed to cater to the needs of crypto-native users who want to trade, earn rewards, and participate in gaming activities. As a DEX, SugarSwap operates on the zkSync network, which offers faster transaction times and lower fees compared to the Ethereum mainnet.",['zkSync Era'],UseSugarSwap,183.91375139297043,{'zkSync Era': 183.91375139297043},Dexes
Jujube Finance,https://app.jujube.finance,"Jujube Finance is an innovative platform built on Aptos and Sui, providing AMM Dex & NFT & GameFiDE services. Its basic functions include exchange, liquidity, pool, and farm. Users can also stake NFTs to generate JUJUBE income. Jujube Kindom is a unique game system within the platform, making Jujube's ecosystem more complete.",['Aptos'],JujubeFinance,177.92340832390397,{'Aptos': 177.92340832390397},Dexes
S Finance,https://s.finance/,"S.Finance is a stable coin trading protocol, introducing a new token governance plan.",['Ethereum'],SFinanceEx,174.5931232463762,{'Ethereum': 174.5931232463762},Dexes
EggTartSwap,https://eggtartswap.com,"EggtartSwap.com is a decentralized one-stop Defi service platform on Harmony (ONE). EggtartSwap is based on automatic market maker (AMM) algorithm mechanism. Eggtartswap allows users to trade directly from their wallets, rather than trading through a third party – tokens never leaving their custody means it is 100% owned by the user.",['Harmony'],EggTartSwap,170.3982815657076,{'Harmony': 170.3982815657076},Dexes
Inuswap,https://inuswap.fi/,Inuswap aims to be the one-stop shop for decentralized trading on Dogechain.,['Dogechain'],inuswapfi,168.9046803763879,{'Dogechain': 168.9046803763879},Dexes
ABcDeFX,https://abcdefx.eliteness.network,ABcDeFx (A BlockChain-Decentralized Exchange & ForeX) is a Multi-Chain StableSwap AMM DEX & Foreign Exchange Market.,"['Fantom', 'Kava', 'Kucoin', 'MultiVAC', 'Echelon']",FTM1337,156.9766012276774,"{'Echelon': 0, 'Kava': 56.06004168578333, 'Kucoin': 18.36947272400797, 'MultiVAC': 2.4486634656599997, 'Fantom': 80.09842335222612}",Dexes
Adena Finance,https://adena.finance,"Adena Finance is a decentralized exchange on the Harmony Network. Our goal is to provide a comprehensive and convenient, one-stop platform for the cryptocurrency community.",['Harmony'],adenafinance,145.99746331565103,{'Harmony': 145.99746331565103},Dexes
CuanSwap,https://app.cuanswap.com,"Trade CuanSwap Token, list and swap any coredao toekens.","['CORE', 'Op_Bnb']",CuanSwap,129.39305972653437,"{'CORE': 89.68107798088846, 'Op_Bnb': 39.71198174564592}",Dexes
Sharelock,https://sharelock.win/#/,Sharelock is a DEX built to support the zksync Era ecosystem,['zkSync Era'],sharelockwin,128.77240067942256,{'zkSync Era': 128.77240067942256},Dexes
PanKUKU,https://pankuku.net,a Hyper Deflationary Token and AMM styled Dex running on BNB Chain,['Binance'],pankukuofficial,128.54002251356934,{'Binance': 128.54002251356934},Dexes
Frog Swap,https://exchange.frogamm.com/#/swap,FrogSwap is the fastest and safest DEX on KekChain,['Kekchain'],FrogSwapKEK,104.53119379957249,{'Kekchain': 104.53119379957249},Dexes
AtoDEX,https://atodex.io,The pioneer AggregatorDEX with REFERRAL mechanism represent in Aptos.Unlimited revenue stream from FarmingReferral and Retroactive.,['Aptos'],AtodexOfficial,100.8711577059,{'Aptos': 100.8711577059},Dexes
CakeWSwap,https://cakewswap.finance/,"CakeWSwap is a decentralized finance (DeFi) application that lets users exchange tokens while also providing liquidity through farming and earning fees. It's a decentralized exchange for transferring ERC20 tokens on EthereumPow first launched in October 2022. Users trade against a liquidity pool in CakeWSwap's automated market maker model and deposit funds into these pools in exchange for liquidity provider tokens, which are then used to fill the pools. These tokens can then be redeemed for a portion of the pool as well as a portion of the trading fees. Users can also farm additional tokens like CAKEW and CAKEW using CakeWSwap or put liquidity provider tokens on the farm and receive CAKEW as a reward.",['EthereumPoW'],cakewswap,84.02759652306547,{'EthereumPoW': 84.02759652306547},Dexes
Kasava Dex,https://kasavadex.com,Kasava dex is an automated market-making (AMM) decentralized exchange for the KAVA Ethereum Co Chain.,['Kava'],Kasava_dex,83.38444431747199,{'Kava': 83.38444431747199},Dexes
Dogium Farm,https://lithium.dog,PolyWantsADoge (Dogium Farm) is a yield farm and yield maximizer on the Dogecoin Network. It is a fork of the PolyWantsACracker codebase by the original team. Tokens can be swapped for Janis DEX presale credit.,['Dogechain'],PolyWantsAFarm,73.82225705320064,"{'Dogechain': 73.82225705320064, 'Dogechain-pool2': 62.23441296141533, 'pool2': 62.23441296141533, 'Dogechain-staking': 21.671133229355515, 'staking': 21.671133229355515}",Dexes
KekSwap,https://kekswap.app/#/swap,First native DEX and meme token on Kekchain,['Kekchain'],KekSwap,73.41725280446649,{'Kekchain': 73.41725280446649},Dexes
ApexSwap,https://apexswap.io/swap,The Apex Foundation improves the Efficiency and Management of the entire Apex Ecosystem,['Avalanche'],ApexFoundation_,73.27151025511351,{'Avalanche': 73.27151025511351},Dexes
Andromeada,https://andromeada.com,"Andromeada is a decentralized exchange that has launched on the Base network with low fees, near 0 slippage on correlated assets and a strong focus on secondary markets for tokenized locks as NFTs (veToken = lpNFTs).",['Base'],andromeada_,70.34054767993409,{'Base': 70.34054767993409},Dexes
KefirSwap,https://kefirswap.net,Decentralized community driven exchange built on KAVA EVM blockchain. Sustainable yield farming (pool staking and kefir solo staking) on KAVA’s Ethereum Co-Chain platform.,['Kava'],kefirswap,58.792041952803814,{'Kava': 58.792041952803814},Dexes
Astarnova,https://astarnova.io,"Astarnova is a DeFI protocol implementing a DEX, Farms and yield optimizers on Astar network",['Astar'],Astarnovaio,56.205464,{'Astar': 56.205464},Dexes
Tarina,https://www.tarina.exchange,"Tarina allows low cost, near 0 slippage trades on uncorrelated or tightly correlated assets. An revolutionanew Automated Market Maker (AMM) on the Avalanche Network. Low cost stable coin swaps,Transaction fee is only 0.01%.",['Avalanche'],tarinaexchange,54.36208464760212,{'Avalanche': 54.36208464760212},Dexes
SeaLightSwap,https://sealightswap.org/#/swap,AMM DEX on Polygon,['Polygon'],sealight_swap,42.77968460741003,{'Polygon': 42.77968460741003},Dexes
Philetairus Socius,https://www.philetairus-socius.com/,The latest Yield Farm on Fantom (FTM) with APRs Reset System which helps investors to protect their funds as we provide a transparent environment so that users can use our services worry-free and helps to bring in stable passive income by staking! ,['Fantom'],philetairus,35.78622760115053,"{'pool2': 8.791435169786686, 'Fantom-staking': 3.174354040400006, 'Fantom-pool2': 8.791435169786686, 'staking': 3.174354040400006, 'Fantom': 35.78622760115053}",Dexes
Liquify,https://app.liquify.network,"Permissionless liquidity market, community oriented ve(3,3) on CoreDAO.",['CORE'],NetworkLiquify,34.49460504072393,{'CORE': 34.49460504072393},Dexes
FlitSwap,https://flitswap.org,"Enjoy seamless, efficient and secure trading with flitswap, a DEX/AMM on OpBNB network.",['Op_Bnb'],Flitswap,34.484446461230746,{'Op_Bnb': 34.484446461230746},Dexes
StrikeX,https://strikex.com,"StrikeX is the native currency of the blockchain powered eco-system developed & deployed by the UK Registered Company StrikeX Technologies Ltd. Their flag ship product, TradeStrike, will utilise the power of tokenisation to offer trading in Stocks, Cryptocurrencies, NFT's & even Real Estate. Fully compliant, fully collateralised trading, 24/7 - 365 days a year. #ForThePeople",['Binance'],StrikeXofficial,34.15175902589302,"{'Binance': 34.15175902589302, 'Binance-staking': 1248330.1371545976, 'pool2': 22.829087365946133, 'Binance-pool2': 22.829087365946133, 'staking': 1248330.1371545976}",Dexes
zkDefi,https://polygon.zkdefi.io,"ZK DeFi is the 1 DeFi Ecosystem on zkEVM, allowing users to trade, receive airdrop, farm and launch new projects",['Polygon zkEVM'],defi_zk,32.5562244210576,{'Polygon zkEVM': 32.5562244210576},Dexes
Jadeswap,https://www.jadeswap.fi/,"Decentralized Exchange for Trading, Automated Liquidity, Farming and More on Mantle Network",['Mantle'],JadeSwapFi,29.092476938580262,"{'Mantle-staking': 0, 'Mantle': 29.092476938580262, 'staking': 0}",Dexes
1Pulse,https://dex.1pulse.io,"The People's DEX on Pulsechain, building the largest DeFi Ecosystem while aiding projects with their launches.",['Pulse'],1PulseDex,24.317586805855832,{'Pulse': 24.317586805855832},Dexes
BroSwap,https://broswap.org,BroSwap is a standout Swap DEX on the CoreDAO Chain network with various advantages that appeal to users.,['CORE'],broswaporg,20.522165547872245,{'CORE': 20.522165547872245},Dexes
NowSwap,https://nowswap.org,Nowswap is a decentralized exchange featuring low transaction fees for small-size trades.,['Ethereum'],nowswap_org,17.944954150320996,{'Ethereum': 17.944954150320996},Dexes
v2swap,https://www.v2swap.io,Bringing the infamous battle-tested Uniswap V2 protocol to opBNB network,['Op_Bnb'],v2swapUNI,14.028744240422176,{'Op_Bnb': 14.028744240422176},Dexes
AstroFi,https://astrofi.org,Unlock the full potential of DeFi. Join the DeFi revolution with AstroFi.,['Ethereum'],Astrofiorg,11.116921489001145,"{'Ethereum': 11.116921489001145, 'Ethereum-staking': 0, 'staking': 0}",Dexes
Opankeswap,https://opankeswap.finance/#/swap,"Opankeswap is a DeFi platform, serving as a liquidity hub for all projects on opBNB",['Op_Bnb'],Opankeswap,9.46329174375708,{'Op_Bnb': 9.46329174375708},Dexes
OctoPow Finance,https://octopow.finance,"OctoPow is the first and most advanced DEX & AMM on Ethereum PoW chain, supporting true Defi & NFT on the EthereumPoW network.",['EthereumPoW'],OctoPowswap,3.4047796310951663,{'EthereumPoW': 3.4047796310951663},Dexes
KSwap,https://kswap.network,AMM DEX with deep liquidity on Kava,['Kava'],_KSwap,2.8220362409914537,{'Kava': 2.8220362409914537},Dexes
KapaSwap,https://app.kapaswap.com,Dexes on Kava Network,['Kava'],,2.653819247129487,{'Kava': 2.653819247129487},Dexes
Zircon Gamma,https://zircon.finance,Zircon is a DEX protocol with a unique mechanism to provide liquidity with one token and with greatly reduced impermanent loss.,"['Moonriver', 'Binance']",Zircon_Finance,2.610840219204355,"{'Binance': 0.7949956632838694, 'Moonriver': 1.8158445559204859}",Dexes
GxyPad,https://gxypad.com,"Make your project easier launching on the zkSync Era Mainnet, One-click service",['zkSync Era'],gxypad,1.9159775099999998,{'zkSync Era': 1.9159775099999998},Dexes
